Circuit delay: 3510.26 ps

Gate slacks:
INP-n1: 3732.63 ps
INP-n2: 3754.92 ps
INP-n3: 3790.44 ps
INP-n4: 1007.88 ps
INP-n5: 3530.89 ps
INP-n6: 3418.88 ps
INP-n7: 3415.92 ps
INP-n8: 3299.15 ps
INP-n9: 3253.43 ps
INP-n10: 3130.12 ps
INP-n11: 3060.22 ps
INP-n12: 2980.84 ps
INP-n13: 2921.22 ps
INP-n14: 2821.01 ps
INP-n15: 2765.25 ps
INP-n16: 2650.99 ps
INP-n17: 2613.47 ps
INP-n18: 2492.77 ps
INP-n19: 2454.66 ps
INP-n20: 2335.99 ps
INP-n21: 2290.79 ps
INP-n22: 2175.57 ps
INP-n23: 2135.27 ps
INP-n24: 2015.13 ps
INP-n25: 1947.18 ps
INP-n26: 1855.58 ps
INP-n27: 1818.13 ps
INP-n28: 1694.11 ps
INP-n29: 1636.27 ps
INP-n30: 1516.34 ps
INP-n31: 1487.49 ps
INP-n32: 1391.83 ps
INP-n33: 1326.45 ps
INP-n34: 1239.30 ps
INP-n35: 1025.80 ps
INP-n36: 1025.54 ps
-n37: 3861.28 ps
NAND-n38: 1652.45 ps
NAND-n39: 1685.93 ps
NAND-n40: 1752.94 ps
NAND-n41: 1847.06 ps
NAND-n42: 1953.00 ps
NAND-n43: 2016.74 ps
NAND-n44: 2134.45 ps
NAND-n45: 2221.74 ps
NAND-n46: 2273.34 ps
NAND-n47: 2433.00 ps
NAND-n48: 2522.83 ps
NAND-n49: 2585.12 ps
NAND-n50: 2665.24 ps
NAND-n51: 2774.81 ps
NAND-n52: 2837.81 ps
NAND-n53: 2929.43 ps
NAND-n54: 3034.28 ps
NAND-n55: 3115.16 ps
AND-n56: 3256.07 ps
NAND-n57: 3260.47 ps
NAND-n58: 3350.88 ps
AND-n59: 3380.71 ps
INP-n60: 3604.88 ps
NAND-n61: 3157.81 ps
INP-n62: 3604.88 ps
NAND-n63: 3157.81 ps
INP-n64: 3604.88 ps
NAND-n65: 3157.81 ps
INP-n66: 3604.88 ps
NAND-n67: 3157.81 ps
INP-n68: 3604.88 ps
NAND-n69: 3157.81 ps
INP-n70: 3604.88 ps
NAND-n71: 3157.81 ps
INP-n72: 3604.88 ps
NAND-n73: 3157.81 ps
INP-n74: 3551.99 ps
NAND-n75: 3157.81 ps
INP-n76: 3732.31 ps
NAND-n77: 3157.81 ps
INP-n78: 3732.31 ps
NAND-n79: 3157.81 ps
INP-n80: 3732.31 ps
NAND-n81: 3157.81 ps
INP-n82: 3732.31 ps
NAND-n83: 3157.81 ps
INP-n84: 3732.31 ps
NAND-n85: 3157.81 ps
INP-n86: 3732.31 ps
NAND-n87: 3157.81 ps
INP-n88: 3732.31 ps
NAND-n89: 3157.81 ps
INP-n90: 3770.22 ps
NAND-n91: 3157.81 ps
INP-n92: 3621.30 ps
NAND-n93: 3157.81 ps
INP-n94: 3621.30 ps
NAND-n95: 3157.81 ps
INP-n96: 3621.30 ps
NAND-n97: 3157.81 ps
INP-n98: 3621.30 ps
NAND-n99: 3157.81 ps
INP-n100: 3621.30 ps
NAND-n101: 3157.81 ps
INP-n102: 3621.30 ps
NAND-n103: 3157.81 ps
INP-n104: 3621.30 ps
NAND-n105: 3157.81 ps
INP-n106: 3568.37 ps
NAND-n107: 3157.81 ps
INP-n108: 3641.07 ps
NAND-n109: 3157.81 ps
INP-n110: 3641.07 ps
NAND-n111: 3157.81 ps
INP-n112: 3641.07 ps
NAND-n113: 3157.81 ps
INP-n114: 3641.07 ps
NAND-n115: 3157.81 ps
INP-n116: 3641.07 ps
NAND-n117: 3157.81 ps
INP-n118: 3641.07 ps
NAND-n119: 3157.81 ps
INP-n120: 3641.07 ps
NAND-n121: 3157.81 ps
INP-n122: 3648.17 ps
NAND-n123: 3157.81 ps
INP-n124: 3605.49 ps
NAND-n125: 3487.72 ps
INP-n126: 3605.49 ps
NAND-n127: 3487.72 ps
INP-n128: 3605.49 ps
NAND-n129: 3487.72 ps
INP-n130: 3605.49 ps
NAND-n131: 3487.72 ps
