Circuit delay: 1151.43 ps

Gate slacks:
INP-n1: 180.55 ps
INP-n13: 160.43 ps
INP-n20: 150.96 ps
INP-n33: 116.16 ps
INP-n41: 180.98 ps
INP-n45: 209.34 ps
INP-n50: 299.70 ps
INP-n58: 212.35 ps
INP-n68: 190.34 ps
INP-n77: 261.28 ps
INP-n87: 231.09 ps
INP-n97: 185.61 ps
INP-n107: 163.61 ps
INP-n116: 237.04 ps
INP-n124: 709.12 ps
INP-n125: 707.84 ps
INP-n128: 707.84 ps
INP-n132: 707.84 ps
INP-n137: 707.84 ps
INP-n143: 707.84 ps
INP-n150: 357.45 ps
INP-n159: 288.02 ps
INP-n169: 368.12 ps
INP-n179: 367.64 ps
INP-n190: 372.24 ps
INP-n200: 372.72 ps
INP-n213: 453.28 ps
INP-n222: 345.63 ps
INP-n223: 276.19 ps
INP-n226: 278.08 ps
INP-n232: 289.10 ps
INP-n238: 237.04 ps
INP-n244: 238.93 ps
INP-n250: 243.00 ps
INP-n257: 247.15 ps
INP-n264: 275.55 ps
INP-n270: 321.69 ps
INP-n274: 284.17 ps
INP-n283: 241.11 ps
INP-n294: 245.26 ps
INP-n303: 273.66 ps
INP-n311: 730.48 ps
INP-n317: 742.31 ps
INP-n322: 742.31 ps
INP-n326: 742.31 ps
INP-n329: 742.31 ps
INP-n330: 728.28 ps
INP-n343: 453.28 ps
NOT-n349: 1010.48 ps
NOT-n350: 1010.48 ps
NAND-n351: 1010.48 ps
NAND-n352: 1183.36 ps
NOT-n353: 1183.36 ps
AND-n354: 1179.84 ps
NOT-n355: 1179.84 ps
NAND-n356: 1042.34 ps
NAND-n357: 1042.34 ps
NAND-n358: 1042.34 ps
OR-n359: 1053.30 ps
NOT-n360: 1037.09 ps
NAND-n361: 1037.09 ps
OR-n362: 599.60 ps
NOT-n363: 583.84 ps
AND-n364: 583.84 ps
OR-n365: 464.62 ps
NOT-n366: 448.85 ps
AND-n367: 448.85 ps
AND-n368: 763.53 ps
NOT-n369: 763.53 ps
AND-n372: 798.83 ps
AND-n375: 363.63 ps
AND-n378: 415.37 ps
NOT-n380: 393.86 ps
AND-n381: 393.86 ps
NOT-n383: 569.18 ps
AND-n384: 569.18 ps
NOT-n386: 458.96 ps
AND-n387: 458.96 ps
NOT-n389: 472.93 ps
AND-n390: 472.93 ps
NOT-n392: 466.79 ps
AND-n393: 466.79 ps
NOT-n395: 617.86 ps
AND-n396: 617.86 ps
AND-n397: 675.42 ps
AND-n398: 684.40 ps
OR-n399: 675.42 ps
NAND-n400: 202.33 ps
NAND-n401: 202.33 ps
